Date,Open,High,Low,Close,Adj Close,Volume
2015-09-15,196.610,198.990,195.960,198.460,181.525,113806200
2015-09-16,198.820,200.410,198.410,200.180,183.098,99581600
2015-09-17,200.020,202.890,199.280,199.730,182.686,276046600
2015-09-18,195.710,198.680,194.960,195.450,179.701,223657500
2015-09-21,196.440,197.680,195.210,196.460,180.630,105726200
2015-09-22,193.880,194.460,192.560,193.910,178.285,153890900
2015-09-23,194.110,194.670,192.910,193.600,178.000,92790600
2015-09-24,192.150,193.450,190.560,192.900,177.356,159378800
2015-09-25,194.640,195.000,191.810,192.850,177.310,155054800
2015-09-28,191.780,191.910,187.640,188.010,172.860,178515900
2015-09-29,188.270,189.740,186.930,188.120,172.962,159045600
2015-09-30,190.370,191.830,189.440,191.630,176.189,163452000
2015-10-01,192.080,192.490,189.820,192.130,176.648,131079000
2015-10-02,189.770,195.030,189.120,195.000,179.287,211003300
2015-10-05,196.460,198.740,196.330,198.470,182.478,126320800
2015-10-06,198.310,198.980,197.000,197.790,181.852,110274500
2015-10-07,198.900,199.830,197.480,199.410,183.342,124307300
2015-10-08,198.950,201.550,198.590,201.210,184.997,153055200
2015-10-09,201.380,201.900,200.580,201.330,185.107,107069200
2015-10-12,201.420,201.760,200.910,201.520,185.282,56395600
2015-10-13,200.650,202.160,200.050,200.250,184.114,88038700
2015-10-14,200.180,200.870,198.940,199.290,183.231,99106200
2015-10-15,200.080,202.360,199.640,202.350,186.045,134142200
2015-10-16,202.830,203.290,201.920,203.270,186.891,114580100
2015-10-19,202.500,203.370,202.130,203.370,186.983,76523900
2015-10-20,202.850,203.840,202.550,203.110,186.744,78448500
2015-10-21,203.610,203.790,201.650,201.850,185.585,102038000
2015-10-22,202.980,205.510,201.850,205.260,188.720,174911700
2015-10-23,207.250,207.950,206.300,207.510,190.789,144442300
2015-10-26,207.300,207.370,206.560,207.000,190.320,69033000
2015-10-27,206.200,207.000,205.790,206.600,189.952,77905800
2015-10-28,207.000,208.980,206.210,208.950,192.113,135906700
2015-10-29,208.350,209.270,208.210,208.830,192.003,90525500
